Sample,SiO2 (wt%),TiO2 (wt%),Al2O3 (wt%),Fe2O3 (T) (wt%),MnO (wt%),MgO (wt%),CaO (wt%),Na2O (wt%),K2O (wt%),P2O5 (wt%),BaXRF (ppm),Sc (ppm),Zn (ppm),Ga (ppm),Rb (ppm),Sr (ppm),Y (ppm),Zr (ppm),Nb (ppm),Ba (ICP) (ppm),La (ppm),Ce (ppm),Pr (ppm),Nd (ppm),Sm (ppm),Eu (ppm),Gd (ppm),Tb (ppm),Dy (ppm),Ho (ppm),Er (ppm),Tm (ppm),Yb (ppm),Lu (ppm),Hf (ppm),Pb (ppm),Th (ppm),U (ppm)
YP504,75.94,0.31,11.88,3.59,0.05,0.05,0.72,3.52,3.92,0.02,1575,4.7,88,17.5,96,182,36,481,28,1426,53,104,11.4,43,8.8,3.6,8.7,1.35,7.5,1.44,4.2,0.56,3.5,0.65,10.9,29,13.0,3.9
YP505,75.00,0.37,11.76,4.56,0.05,0.09,1.04,3.47,3.63,0.03,1379,7.4,105,21,106,262,72,673,29,1392,69,92,15.5,61,12.8,4.5,14.4,2.4,13.4,2.7,7.7,1.04,6.6,1.00,13.33456,29,14.2,4.7
YP568,67.98,1.12,12.09,8.92,0.10,0.36,3.65,3.02,2.16,0.39,828,46,148,20,76,296,33,364,20,818,40,76,9.2,35,7.2,2.8,7.6,1.05,6.2,1.23,3.3,0.47,2.9,0.41,7.7,21,9.4,2.6
YP569,67.10,1.11,11.74,10.55,0.12,0.38,3.42,2.94,2.04,0.38,754,45,141,20,78,302,33,357,20,743,39,73,9.4,36,7.6,2.8,7.6,1.10,6.0,1.23,3.3,0.44,2.8,0.41,7.7,23,8.4,2.3
YP611,72.21,0.56,12.05,6.79,0.07,0.09,1.40,2.99,3.36,0.10,1465,20,129,21,98,232,49,615,26,1488,63,82,14.4,56,11.4,3.8,12.1,1.89,10.1,2.1,6.0,0.82986,5.5,0.84,12.2,32,13.0,4.3
YP648,66.46,1.09,11.54,10.68,0.15,0.47,3.91,2.91,2.18,0.38,798,39,103,16.9,57,245,27,310,17.0,674,32,65,7.5,29,6.3,2.4,6.3,0.98,5.3,1.02,3.0,0.40,2.6,0.50,7.0,16.8,7.7,2.5
YP651,68.77,0.83,11.67,9.83,0.16,0.26,3.04,2.58,2.39,0.25,909,35,98,19.3,74,258,38,447,23,893,45,90,10.3,38,7.9,2.7,8.2,1.18,6.8,1.37,3.7,0.52,3.4,0.51,8.9,25,10.3,3.1
YR225,68.69,0.86,11.55,9.05,0.13,0.26,3.58,3.02,2.60,0.26,952,38,130,20,90,307,38,491,26,1001,45,92,10.8,42,8.7,3.3,8.5,1.25,7.1,1.40,3.9,0.56,3.5,0.54,10,27,10.6,3.1
YR257,68.84,0.83,11.60,9.53,0.10,0.21,2.84,3.12,2.68,0.24,1079,36,133,20,93,294,56,547,26,1117,58,69,14.2,55,11.6,3.4,11.8,1.74,10.1,2.0,5.5,0.82,5.2,0.81,11,27,11.5,4.0
YP007,74.70,0.26,13.66,3.01,0.05,0.08,0.83,2.90,4.47,0.03,2837,4.0,89,24,116,131,43,403,31,2675,66,130,14.3,55,10.9,4.2,11.4,1.71,9.0,1.78,5.2,0.71031,4.7,0.69,10.31488,38,20,4.6
