Drilled depth (m),Tilt (Degrees),Distance E (m),Distance N (m),True Vertical Depth (m),Temperature (degrees C)
669,34.626,-36.513,105.487,646.096,102.124
670,34.684,-36.68,106.031,646.919,102.19
671,34.745,-36.846,106.575,647.74,102.263
672,34.819,-37.014,107.12,648.562,102.305
673,34.904,-37.181,107.667,649.382,102.395
674,34.995,-37.349,108.215,650.202,102.544
675,35.077,-37.517,108.764,651.021,102.653
676,35.137,-37.684,109.314,651.839,102.766
677,35.185,-37.851,109.865,652.656,102.858
678,35.237,-38.017,110.417,653.473,102.951
679,35.306,-38.183,110.97,654.29,103.05
680,35.382,-38.349,111.525,655.106,103.153
681,35.451,-38.514,112.08,655.921,103.235
682,35.531,-38.678,112.637,656.735,103.335
683,35.617,-38.843,113.195,657.548,103.433
684,35.682,-39.008,113.754,658.361,103.498
685,35.761,-39.173,114.314,659.173,103.591
686,35.828,-39.338,114.875,659.984,103.679
687,35.889,-39.504,115.437,660.794,103.755
688,35.969,-39.671,115.999,661.604,103.853
689,36.056,-39.838,116.563,662.413,103.963
690,36.139,-40.007,117.127,663.221,104.054
691,36.201,-40.177,117.693,664.028,104.143
692,36.239,-40.348,118.258,664.835,104.24
693,36.266,-40.519,118.824,665.641,104.333
694,36.289,-40.691,119.39,666.447,104.41
695,36.307,-40.864,119.956,667.253,104.504
696,36.321,-41.039,120.522,668.059,104.584
697,36.327,-41.214,121.088,668.865,104.671
698,36.326,-41.391,121.654,669.67,104.776
699,36.324,-41.568,122.219,670.476,104.86
700,36.331,-41.745,122.784,671.282,104.934
701,36.351,-41.924,123.349,672.087,105.01
702,36.371,-42.103,123.914,672.893,105.113
703,36.392,-42.282,124.48,673.698,105.208
704,36.418,-42.462,125.045,674.503,105.312
705,36.454,-42.643,125.611,675.307,105.42
706,36.502,-42.823,126.178,676.111,105.516
707,36.539,-43.004,126.745,676.915,105.611
708,36.579,-43.183,127.313,677.718,105.704
709,36.615,-43.362,127.881,678.521,105.806
710,36.638,-43.541,128.45,679.323,105.888
711,36.68,-43.72,129.02,680.126,105.986
712,36.747,-43.898,129.591,680.927,106.082
713,36.819,-44.075,130.163,681.728,106.163
714,36.893,-44.251,130.736,682.528,106.271
715,36.978,-44.427,131.311,683.328,106.332
716,37.073,-44.603,131.887,684.126,106.407
717,37.178,-44.779,132.464,684.923,106.488
718,37.293,-44.955,133.043,685.719,106.563
719,37.417,-45.131,133.623,686.514,106.621
720,37.552,-45.308,134.206,687.308,106.696
721,37.69,-45.485,134.79,688.1,106.775
722,37.817,-45.663,135.376,688.891,106.829
723,37.935,-45.841,135.963,689.68,106.914
724,38.048,-46.021,136.552,690.468,106.99
725,38.156,-46.202,137.142,691.255,107.05
726,38.262,-46.383,137.733,692.041,107.108
727,38.373,-46.565,138.326,692.825,107.155
728,38.471,-46.749,138.92,693.609,107.22
729,38.566,-46.934,139.514,694.391,107.259
