Drilled depth (m),Tilt (Degrees),Distance E (m),Distance N (m),True Vertical Depth (m),Temperature (degrees C)
216,3.431,-3.862,-2.136,215.924,41.038
217,3.368,-3.914,-2.165,216.922,41.221
218,3.302,-3.964,-2.193,217.92,41.437
219,3.235,-4.014,-2.221,218.919,41.666
220,3.167,-4.063,-2.248,219.917,41.885
221,3.099,-4.111,-2.274,220.915,42.085
222,3.031,-4.158,-2.3,221.914,42.272
223,2.963,-4.204,-2.325,222.913,42.484
224,2.898,-4.248,-2.35,223.911,42.698
225,2.834,-4.292,-2.374,224.91,42.957
226,2.772,-4.335,-2.398,225.909,43.18
227,2.712,-4.377,-2.421,226.908,43.407
228,2.654,-4.418,-2.444,227.907,43.644
229,2.6,-4.458,-2.466,228.906,43.881
230,2.551,-4.497,-2.488,229.905,44.1
231,2.508,-4.536,-2.509,230.904,44.313
232,2.47,-4.574,-2.53,231.903,44.525
233,2.436,-4.611,-2.551,232.902,44.712
234,2.408,-4.648,-2.571,233.901,44.896
235,2.384,-4.685,-2.592,234.9,45.064
236,2.363,-4.721,-2.612,235.899,45.223
237,2.343,-4.757,-2.631,236.898,45.4
238,2.325,-4.793,-2.651,237.897,45.577
239,2.305,-4.828,-2.671,238.897,45.755
240,2.286,-4.863,-2.69,239.896,45.96
241,2.271,-4.898,-2.709,240.895,46.134
242,2.261,-4.932,-2.728,241.894,46.332
243,2.257,-4.967,-2.747,242.893,46.524
244,2.263,-5.001,-2.767,243.893,46.722
245,2.281,-5.036,-2.786,244.892,46.931
246,2.307,-5.071,-2.805,245.891,47.14
247,2.333,-5.107,-2.825,246.89,47.325
248,2.355,-5.142,-2.844,247.889,47.522
249,2.369,-5.178,-2.864,248.889,47.752
250,2.373,-5.215,-2.884,249.888,47.954
251,2.368,-5.251,-2.904,250.887,48.171
252,2.361,-5.287,-2.924,251.886,48.378
253,2.354,-5.323,-2.944,252.885,48.589
254,2.345,-5.359,-2.964,253.884,48.802
255,2.33,-5.395,-2.984,254.884,48.999
256,2.309,-5.43,-3.003,255.883,49.22
257,2.286,-5.465,-3.023,256.882,49.479
258,2.263,-5.5,-3.042,257.881,49.72
259,2.244,-5.534,-3.061,258.88,49.943
260,2.229,-5.568,-3.08,259.88,50.178
261,2.216,-5.602,-3.098,260.879,50.38
262,2.205,-5.636,-3.117,261.878,50.57
263,2.194,-5.67,-3.135,262.877,50.777
264,2.181,-5.704,-3.153,263.877,50.972
265,2.168,-5.738,-3.17,264.876,51.154
266,2.151,-5.771,-3.187,265.875,51.333
267,2.128,-5.805,-3.203,266.875,51.509
268,2.097,-5.839,-3.218,267.874,51.683
269,2.055,-5.872,-3.232,268.873,51.858
270,2.001,-5.905,-3.245,269.873,52.04
271,1.94,-5.937,-3.256,270.872,52.222
272,1.88,-5.969,-3.266,271.871,52.408
273,1.825,-6.001,-3.275,272.871,52.556
274,1.779,-6.031,-3.282,273.87,52.702
275,1.745,-6.061,-3.288,274.87,52.884
276,1.72,-6.091,-3.292,275.869,53.06
277,1.7,-6.121,-3.296,276.869,53.221
278,1.679,-6.15,-3.299,277.869,53.375
279,1.66,-6.179,-3.3,278.868,53.553
280,1.645,-6.208,-3.301,279.868,53.735
281,1.637,-6.237,-3.3,280.867,53.892
282,1.633,-6.265,-3.298,281.867,54.059
283,1.631,-6.294,-3.295,282.866,54.216
284,1.629,-6.322,-3.291,283.866,54.375
285,1.625,-6.35,-3.286,284.866,54.547
286,1.621,-6.377,-3.279,285.865,54.724
287,1.618,-6.404,-3.271,286.865,54.889
288,1.618,-6.431,-3.261,287.865,55.061
289,1.622,-6.457,-3.251,288.864,55.208
290,1.63,-6.483,-3.239,289.864,55.346
291,1.64,-6.508,-3.226,290.863,55.497
292,1.655,-6.533,-3.211,291.863,55.674
293,1.676,-6.558,-3.196,292.862,55.828
294,1.701,-6.582,-3.18,293.862,55.999
295,1.732,-6.607,-3.163,294.862,56.154
296,1.768,-6.632,-3.145,295.861,56.306
297,1.805,-6.657,-3.126,296.861,56.441
298,1.845,-6.682,-3.107,297.86,56.604
299,1.884,-6.707,-3.086,298.86,56.775
300,1.924,-6.732,-3.064,299.859,56.92
301,1.965,-6.757,-3.041,300.858,57.069
302,2.007,-6.782,-3.017,301.858,57.206
303,2.052,-6.807,-2.992,302.857,57.352
304,2.099,-6.832,-2.966,303.857,57.496
305,2.148,-6.856,-2.938,304.856,57.633
306,2.198,-6.881,-2.909,305.855,57.788
307,2.248,-6.906,-2.879,306.854,57.932
308,2.301,-6.93,-2.848,307.854,58.084
309,2.357,-6.955,-2.816,308.853,58.234
310,2.414,-6.98,-2.782,309.852,58.354
311,2.475,-7.005,-2.748,310.851,58.501
312,2.539,-7.03,-2.712,311.85,58.652
313,2.606,-7.056,-2.676,312.849,58.801
314,2.676,-7.082,-2.638,313.848,58.958
315,2.75,-7.108,-2.598,314.847,59.096
316,2.828,-7.135,-2.558,315.846,59.234
317,2.91,-7.162,-2.516,316.844,59.397
318,2.996,-7.19,-2.472,317.843,59.544
319,3.085,-7.218,-2.427,318.842,59.691
320,3.171,-7.247,-2.381,319.84,59.836
321,3.254,-7.276,-2.333,320.839,59.973
322,3.337,-7.305,-2.284,321.837,60.122
323,3.421,-7.335,-2.233,322.835,60.281
324,3.508,-7.365,-2.18,323.833,60.413
325,3.596,-7.395,-2.126,324.831,60.55
326,3.686,-7.426,-2.07,325.829,60.687
327,3.778,-7.457,-2.013,326.827,60.82
328,3.869,-7.488,-1.954,327.825,60.994
329,3.961,-7.52,-1.894,328.823,61.13
330,4.052,-7.552,-1.832,329.82,61.289
331,4.146,-7.584,-1.768,330.818,61.448
332,4.244,-7.616,-1.702,331.815,61.594
333,4.344,-7.649,-1.635,332.812,61.757
334,4.446,-7.682,-1.566,333.809,61.903
335,4.548,-7.715,-1.495,334.806,62.061
336,4.65,-7.749,-1.422,335.803,62.23
337,4.754,-7.782,-1.347,336.8,62.353
338,4.862,-7.816,-1.271,337.796,62.503
339,4.972,-7.85,-1.192,338.793,62.66
340,5.081,-7.884,-1.111,339.789,62.817
341,5.186,-7.919,-1.028,340.785,62.968
342,5.289,-7.953,-0.944,341.78,63.126
343,5.392,-7.987,-0.857,342.776,63.263
344,5.493,-8.021,-0.769,343.772,63.41
345,5.596,-8.055,-0.678,344.767,63.555
346,5.703,-8.089,-0.586,345.762,63.728
347,5.81,-8.123,-0.492,346.757,63.861
348,5.923,-8.158,-0.395,347.752,64.03
349,6.042,-8.192,-0.297,348.746,64.185
350,6.163,-8.227,-0.197,349.741,64.317
351,6.284,-8.263,-0.094,350.735,64.466
352,6.404,-8.299,0.01,351.729,64.632
353,6.527,-8.335,0.117,352.722,64.767
354,6.654,-8.372,0.226,353.716,64.91
355,6.782,-8.409,0.336,354.709,65.054
356,6.909,-8.447,0.449,355.702,65.177
357,7.033,-8.485,0.565,356.694,65.33
358,7.155,-8.524,0.682,357.687,65.471
359,7.277,-8.563,0.801,358.679,65.59
360,7.407,-8.603,0.923,359.671,65.727
361,7.538,-8.643,1.046,360.662,65.863
362,7.666,-8.684,1.172,361.653,65.982
363,7.787,-8.725,1.3,362.644,66.118
364,7.905,-8.768,1.43,363.635,66.288
365,8.023,-8.81,1.562,364.625,66.44
366,8.143,-8.854,1.695,365.615,66.571
367,8.265,-8.898,1.831,366.605,66.716
368,8.39,-8.943,1.969,367.594,66.821
369,8.517,-8.988,2.109,368.584,66.972
370,8.644,-9.035,2.25,369.572,67.115
371,8.774,-9.082,2.394,370.561,67.229
372,8.909,-9.13,2.54,371.549,67.369
373,9.041,-9.179,2.688,372.537,67.5
374,9.167,-9.229,2.838,373.524,67.635
375,9.292,-9.28,2.991,374.511,67.757
376,9.419,-9.33,3.145,375.498,67.883
377,9.545,-9.381,3.302,376.484,68.023
378,9.668,-9.433,3.461,377.47,68.168
379,9.787,-9.484,3.621,378.456,68.302
380,9.906,-9.536,3.784,379.441,68.418
381,10.027,-9.589,3.949,380.426,68.548
382,10.146,-9.642,4.116,381.411,68.681
383,10.262,-9.696,4.285,382.395,68.809
384,10.373,-9.751,4.455,383.379,68.953
385,10.478,-9.806,4.628,384.362,69.086
386,10.579,-9.862,4.802,385.345,69.215
387,10.681,-9.918,4.978,386.328,69.353
388,10.781,-9.974,5.155,387.311,69.482
389,10.88,-10.032,5.334,388.293,69.612
390,10.983,-10.091,5.514,389.275,69.721
391,11.092,-10.152,5.695,390.256,69.859
392,11.205,-10.215,5.878,391.237,69.988
393,11.321,-10.279,6.063,392.218,70.155
394,11.432,-10.345,6.249,393.198,70.324
395,11.537,-10.413,6.436,394.178,70.501
396,11.639,-10.482,6.625,395.158,70.64
397,11.737,-10.552,6.814,396.137,70.76
398,11.832,-10.624,7.006,397.116,70.883
399,11.926,-10.697,7.198,398.095,70.995
400,12.017,-10.771,7.392,399.073,71.119
401,12.104,-10.847,7.586,400.051,71.274
402,12.189,-10.925,7.782,401.029,71.423
403,12.273,-11.005,7.978,402.006,71.556
404,12.356,-11.086,8.175,402.983,71.693
405,12.437,-11.168,8.374,403.959,71.847
406,12.515,-11.252,8.573,404.936,71.979
407,12.598,-11.338,8.773,405.912,72.109
408,12.686,-11.424,8.974,406.888,72.249
409,12.77,-11.511,9.176,407.863,72.368
410,12.85,-11.599,9.38,408.838,72.468
411,12.928,-11.687,9.584,409.813,72.579
412,13.001,-11.777,9.79,410.788,72.719
413,13.072,-11.868,9.997,411.762,72.856
414,13.145,-11.958,10.204,412.736,72.978
415,13.216,-12.049,10.414,413.709,73.113
416,13.282,-12.139,10.625,414.683,73.22
417,13.338,-12.228,10.837,415.656,73.336
418,13.386,-12.316,11.05,416.629,73.445
419,13.434,-12.404,11.265,417.602,73.563
420,13.49,-12.492,11.481,418.574,73.677
421,13.548,-12.579,11.697,419.546,73.778
422,13.602,-12.666,11.915,420.518,73.908
423,13.653,-12.753,12.134,421.49,74.044
424,13.698,-12.84,12.354,422.462,74.179
425,13.743,-12.926,12.575,423.433,74.288
426,13.79,-13.012,12.797,424.405,74.411
427,13.839,-13.098,13.02,425.376,74.548
428,13.892,-13.184,13.244,426.347,74.66
429,13.946,-13.268,13.469,427.317,74.782
430,13.998,-13.353,13.695,428.288,74.922
431,14.05,-13.437,13.922,429.258,75.059
432,14.098,-13.522,14.15,430.228,75.166
433,14.142,-13.606,14.379,431.198,75.275
434,14.19,-13.69,14.609,432.167,75.395
435,14.241,-13.774,14.84,433.137,75.509
436,14.293,-13.857,15.072,434.106,75.648
437,14.349,-13.941,15.305,435.075,75.75
438,14.411,-14.025,15.538,436.043,75.856
439,14.475,-14.109,15.773,437.012,75.974
440,14.535,-14.193,16.009,437.98,76.073
441,14.592,-14.277,16.246,438.948,76.21
442,14.651,-14.361,16.484,439.915,76.346
443,14.713,-14.445,16.724,440.883,76.481
444,14.776,-14.529,16.964,441.85,76.607
445,14.835,-14.613,17.205,442.817,76.701
446,14.886,-14.696,17.448,443.783,76.834
447,14.935,-14.779,17.691,444.749,76.959
448,14.985,-14.862,17.936,445.716,77.072
449,15.035,-14.945,18.181,446.681,77.204
450,15.084,-15.027,18.427,447.647,77.33
451,15.133,-15.109,18.675,448.613,77.437
452,15.186,-15.19,18.924,449.578,77.574
453,15.241,-15.271,19.173,450.543,77.688
454,15.289,-15.351,19.424,451.507,77.815
455,15.339,-15.431,19.676,452.472,77.95
456,15.389,-15.511,19.928,453.436,78.09
457,15.44,-15.591,20.182,454.4,78.213
458,15.493,-15.671,20.436,455.364,78.329
459,15.545,-15.75,20.692,456.328,78.45
460,15.595,-15.829,20.948,457.291,78.558
461,15.643,-15.907,21.206,458.254,78.688
462,15.688,-15.985,21.464,459.217,78.805
463,15.729,-16.063,21.724,460.179,78.943
464,15.766,-16.14,21.984,461.142,79.059
465,15.808,-16.217,22.245,462.104,79.138
466,15.86,-16.294,22.507,463.066,79.253
467,15.917,-16.37,22.77,464.028,79.392
468,15.972,-16.445,23.034,464.99,79.487
469,16.022,-16.52,23.299,465.951,79.612
470,16.067,-16.594,23.565,466.912,79.73
471,16.116,-16.667,23.833,467.873,79.829
472,16.187,-16.739,24.102,468.833,79.95
473,16.278,-16.81,24.372,469.793,80.069
474,16.362,-16.88,24.644,470.753,80.184
475,16.451,-16.949,24.918,471.712,80.299
476,16.551,-17.018,25.194,472.671,80.431
477,16.64,-17.085,25.471,473.629,80.557
478,16.715,-17.152,25.75,474.587,80.695
479,16.789,-17.218,26.031,475.545,80.82
480,16.858,-17.284,26.312,476.502,80.935
481,16.922,-17.349,26.596,477.459,81.058
482,16.988,-17.414,26.88,478.416,81.166
483,17.055,-17.478,27.166,479.372,81.287
484,17.126,-17.542,27.453,480.328,81.427
485,17.2,-17.606,27.741,481.283,81.544
486,17.278,-17.67,28.03,482.238,81.647
487,17.355,-17.733,28.321,483.193,81.773
488,17.429,-17.797,28.613,484.147,81.889
489,17.502,-17.861,28.906,485.101,81.992
490,17.572,-17.925,29.2,486.055,82.084
491,17.634,-17.989,29.496,487.008,82.188
492,17.692,-18.053,29.793,487.961,82.287
493,17.752,-18.117,30.09,488.913,82.395
494,17.815,-18.181,30.389,489.865,82.51
495,17.891,-18.246,30.689,490.817,82.614
496,17.98,-18.311,30.989,491.769,82.719
497,18.049,-18.376,31.292,492.72,82.833
498,18.104,-18.44,31.595,493.67,82.942
499,18.172,-18.505,31.9,494.621,83.061
500,18.247,-18.57,32.206,495.57,83.187
501,18.324,-18.635,32.513,496.52,83.274
502,18.409,-18.7,32.821,497.469,83.36
503,18.508,-18.766,33.13,498.418,83.471
504,18.617,-18.831,33.442,499.366,83.589
505,18.737,-18.898,33.755,500.313,83.686
506,18.864,-18.964,34.071,501.26,83.792
507,18.991,-19.03,34.388,502.205,83.89
508,19.115,-19.096,34.708,503.151,83.965
509,19.24,-19.161,35.03,504.095,84.079
510,19.363,-19.226,35.354,505.039,84.198
511,19.482,-19.291,35.68,505.982,84.311
512,19.606,-19.355,36.009,506.924,84.448
513,19.735,-19.418,36.339,507.866,84.562
514,19.867,-19.481,36.672,508.807,84.655
515,19.998,-19.544,37.007,509.747,84.762
516,20.138,-19.606,37.344,510.686,84.861
517,20.294,-19.668,37.684,511.625,84.982
518,20.45,-19.73,38.027,512.562,85.1
519,20.601,-19.793,38.372,513.499,85.209
520,20.747,-19.855,38.719,514.434,85.325
521,20.876,-19.919,39.069,515.369,85.453
522,20.997,-19.984,39.42,516.303,85.557
523,21.113,-20.051,39.773,517.236,85.635
524,21.219,-20.119,40.128,518.169,85.794
525,21.309,-20.188,40.484,519.101,85.883
526,21.393,-20.259,40.841,520.032,85.942
527,21.482,-20.331,41.199,520.963,86.074
528,21.57,-20.404,41.559,521.893,86.211
529,21.646,-20.479,41.92,522.823,86.336
530,21.716,-20.554,42.281,523.752,86.432
531,21.782,-20.631,42.644,524.681,86.504
532,21.845,-20.708,43.007,525.609,86.607
