Fault ID,Relative Fault Length,StartX,StartY,EndX,EndY,Strike
500,0.001763,40.7700,13.3623,40.7698,13.3641,174.2008665
501,0.006601,40.7637,13.3678,40.7606,13.3735,152.2255188
502,0.007082,40.7605,13.3734,40.7577,13.3797,156.0581598
503,0.002176,40.7569,13.3798,40.7579,13.3779,153.0076213
504,0.005028,40.7600,13.3802,40.7578,13.3846,154.6893419
505,0.003127,40.7582,13.3834,40.7572,13.3864,162.8765192
506,0.005113,40.7576,13.3848,40.7557,13.3895,157.9677837
507,0.001861,40.7563,13.3895,40.7567,13.3877,165.546642
508,0.002832,40.7689,13.3676,40.7680,13.3702,160.8759918
509,0.001759,40.7680,13.3697,40.7674,13.3713,161.9649948
510,0.000980,40.7673,13.3717,40.7670,13.3726,161.0635108
511,0.001537,40.7655,13.3765,40.7651,13.3780,167.2492315
512,0.002102,40.7653,13.3780,40.7645,13.3799,156.4153174
513,0.002965,40.7651,13.3782,40.7641,13.3809,159.1439293
514,0.001256,40.7644,13.3800,40.7641,13.3812,163.5719277
515,0.004649,40.7644,13.3808,40.7631,13.3852,164.2597227
516,0.000480,40.7641,13.3814,40.7640,13.3819,168.5030063
517,0.000888,40.7639,13.3824,40.7636,13.3832,161.4724316
518,0.001300,40.7644,13.3826,40.7640,13.3838,161.3228337
519,0.002853,40.7640,13.3831,40.7630,13.3857,159.7988737
520,0.000598,40.7635,13.3847,40.7632,13.3852,157.9995501
521,0.002200,40.7638,13.3846,40.7630,13.3867,158.5581345
522,0.000774,40.7632,13.3855,40.7628,13.3862,150.8697222
523,0.000897,40.7626,13.3869,40.7631,13.3862,148.5806496
524,0.000563,40.7630,13.3868,40.7628,13.3873,151.6170413
525,0.002404,40.7654,13.3681,40.7645,13.3703,159.7503039
526,0.005945,40.7647,13.3696,40.7620,13.3748,153.328868
527,0.001979,40.7606,13.3750,40.7615,13.3733,152.9862946
528,0.000906,40.7611,13.3736,40.7616,13.3728,145.5954999
529,0.001291,40.7615,13.3728,40.7622,13.3717,150.4426272
530,0.000917,40.7636,13.3724,40.7633,13.3733,164.4313023
531,0.001350,40.7630,13.3727,40.7638,13.3716,147.2981625
532,0.001101,40.7607,13.3759,40.7612,13.3749,151.3448006
533,0.002683,40.7612,13.3752,40.7600,13.3775,153.1521352
534,0.001674,40.7616,13.3760,40.7608,13.3774,149.4149617
535,0.001361,40.7617,13.3761,40.7622,13.3749,157.5663374
536,0.001505,40.7610,13.3779,40.7616,13.3766,154.9264666
537,0.000979,40.7606,13.3788,40.7611,13.3780,150.1868138
538,0.002158,40.7613,13.3775,40.7601,13.3793,144.8840755
539,0.001238,40.7598,13.3800,40.7605,13.3790,145.8431017
540,0.001102,40.7601,13.3791,40.7593,13.3799,139.4651726
541,0.002982,40.7569,13.3801,40.7557,13.3828,155.4317659
542,0.020701,40.7732,13.4118,40.7655,13.4306,158.1376857
543,0.029999,40.7680,13.4143,40.7585,13.4417,161.3000107
544,0.009971,40.7642,13.3493,40.7600,13.3582,155.1616175
1082,0.021802,40.7397,13.4100,40.7478,13.3899,158.577524
1083,0.005269,40.7681,13.3941,40.7703,13.3894,154.6022916
1084,0.004531,40.7775,13.3926,40.7782,13.3881,171.6712777
1085,0.004131,40.7651,13.3962,40.7668,13.3925,157.265914
1086,0.005703,40.7665,13.3991,40.7689,13.3939,156.1042008
1087,0.003041,40.7683,13.3970,40.7695,13.3942,157.9092248
1088,0.004495,40.7679,13.3936,40.7659,13.3974,154.3801422
1089,0.001531,40.7662,13.3969,40.7656,13.3983,156.7805097
1090,0.002936,40.7660,13.3970,40.7651,13.3997,162.157897
1091,0.002444,40.7652,13.3983,40.7647,13.4007,168.3990133
1092,0.002585,40.7647,13.3999,40.7637,13.4023,156.9359514
1093,0.001261,40.7672,13.3956,40.7678,13.3946,151.9182927
1094,0.000721,40.7671,13.3953,40.7675,13.3947,146.0065626
1095,0.001643,40.7735,13.3873,40.7739,13.3857,166.7990755
1096,0.000899,40.7734,13.3873,40.7736,13.3865,168.720023
1097,0.003347,40.7571,13.4185,40.7579,13.4153,167.3947653
1098,0.001921,40.7571,13.4176,40.7574,13.4158,170.6328426
1099,0.005443,40.7568,13.4182,40.7548,13.4231,158.1700382
1100,0.000981,40.7562,13.4204,40.7567,13.4196,147.8181377
1101,0.001659,40.7557,13.4217,40.7563,13.4202,160.5437975
1102,0.003636,40.7580,13.4211,40.7565,13.4244,157.278455
1103,0.000769,40.7562,13.4252,40.7566,13.4245,155.4550019
1104,0.000649,40.7564,13.4246,40.7561,13.4252,149.0390323
1105,0.001992,40.7560,13.4252,40.7550,13.4269,149.5181838
1106,0.001637,40.7554,13.4218,40.7549,13.4233,161.658107
1107,0.000986,40.7546,13.4228,40.7552,13.4220,148.2748681
1108,0.000739,40.7544,13.4233,40.7548,13.4227,147.6240733
1109,0.001195,40.7542,13.4241,40.7548,13.4231,148.6408943
1110,0.001764,40.7539,13.4247,40.7548,13.4232,148.4267341
1111,0.001786,40.7537,13.4237,40.7545,13.4222,153.2618329
1112,0.000798,40.7540,13.4233,40.7543,13.4226,157.7014546
1113,0.001237,40.7533,13.4230,40.7539,13.4220,151.0350341
1114,0.002026,40.7542,13.4243,40.7535,13.4262,160.4890679
1115,0.003122,40.7543,13.4241,40.7533,13.4270,160.7458184
1116,0.001567,40.7533,13.4264,40.7528,13.4278,158.6482073
1117,0.001402,40.7529,13.4281,40.7534,13.4268,157.5121831
1118,0.001112,40.7529,13.4285,40.7533,13.4275,162.1956377
1119,0.001095,40.7521,13.4292,40.7525,13.4282,160.2631512
1120,0.000840,40.7523,13.4292,40.7520,13.4299,158.3251493
1121,0.002894,40.7519,13.4302,40.7510,13.4329,161.2367566
1122,0.001289,40.7518,13.4317,40.7521,13.4305,166.5919537
1123,0.001247,40.7503,13.4316,40.7508,13.4304,157.8361113
1124,0.002904,40.7509,13.4332,40.7497,13.4358,155.7827324
1125,0.002475,40.7491,13.4341,40.7481,13.4363,154.7505889
1126,0.001413,40.7483,13.4356,40.7477,13.4368,153.8481707
1127,0.001609,40.7500,13.4348,40.7492,13.4362,152.3848949
1128,0.000671,40.7492,13.4370,40.7495,13.4365,153.2273561
1129,0.000881,40.7493,13.4367,40.7489,13.4375,152.0990908
1130,0.001370,40.7490,13.4374,40.7485,13.4387,159.5005876
1131,0.001777,40.7478,13.4368,40.7470,13.4383,151.7286466
1132,0.002100,40.7481,13.4365,40.7473,13.4383,156.0034161
1133,0.004213,40.7471,13.4352,40.7453,13.4389,154.3270557
1134,0.000527,40.7470,13.4377,40.7471,13.4372,163.2879792
1135,0.000651,40.7468,13.4383,40.7470,13.4377,163.6357896
1391,0.030580,40.7849,13.4395,40.7912,13.4692,11.84035044
1392,0.023621,40.7825,13.4501,40.7865,13.4731,9.445419529
1393,0.011090,40.7713,13.4665,40.7744,13.4560,164.1964992
1394,0.011455,40.7927,13.4452,40.7903,13.4341,11.93880228
1395,0.012283,40.7774,13.4506,40.7848,13.4409,143.6945776
1396,0.019957,40.7729,13.4548,40.7592,13.4690,136.7881294
1397,0.032312,40.7789,13.4596,40.7553,13.4812,133.1835696
1398,0.022125,40.7643,13.4815,40.7803,13.4667,133.5933513
1399,0.015882,40.7804,13.4780,40.7802,13.4624,0.531914953
