Date,Tmax,Tmin
19460520:0900,16.8,12.8
19460521:0900,15.9,11.8
19460522:0900,16.6,9.7
19460523:0900,10.4,8.9
19460524:0900,10,7.2
19460525:0900,11.1,8.9
19460526:0900,10.6,8.6
19460527:0900,12.1,5.7
19460528:0900,14.3,7.2
19460529:0900,14.3,8.6
19460530:0900,11.5,4.6
19460531:0900,14.3,5.4
19460601:0900,14.1,6.4
19460602:0900,17.7,8.6
19460603:0900,15.6,8.7
19460604:0900,10.1,3.4
19460605:0900,7.3,3.1
19460606:0900,8.4,5.3
19460607:0900,9,5
19460608:0900,11.8,1.6
19460609:0900,10.1,3.6
19460610:0900,15,5.8
19460611:0900,12.9,6.6
19460612:0900,14.4,9.7
19460613:0900,13.4,5.1
19460614:0900,13.4,7.2
19460615:0900,14,8.2
19460616:0900,10.1,5
19460617:0900,10.7,3.9
19460618:0900,14.1,8.9
19460619:0900,12.4,6.2
19460620:0900,12.9,6.3
19460621:0900,13.2,6.9
19460622:0900,10.2,5.8
19460623:0900,10,6.7
19460624:0900,10.3,7.4
19460625:0900,12.3,8.3
19460626:0900,12.1,9.3
19460627:0900,13.8,9.4
19460628:0900,13.7,8.8
19460629:0900,9.6,5.7
19460630:0900,7.1,4.2
19460701:0900,7.2,4.8
19460702:0900,8.4,5.7
19460703:0900,12.7,5.8
19460704:0900,13.2,6.3
19460705:0900,11.7,4.4
19460706:0900,10.3,5.6
19460707:0900,12.5,5.6
19460708:0900,14.1,4.3
19460709:0900,12.3,3.3
19460710:0900,13.7,7.3
19460711:0900,12.2,5.2
19460712:0900,12.1,4.4
19460713:0900,13,9.2
19460714:0900,13.2,10.3
19460715:0900,13.4,5.1
19460716:0900,11.7,2.2
19460717:0900,12.9,4.3
19460718:0900,11.8,4.7
19460719:0900,11.6,8.3
19460720:0900,14.4,5
19460721:0900,11.6,4.6
19460722:0900,12.3,5.1
19460723:0900,13.4,9.6
19460724:0900,13.4,11.5
19460725:0900,12.7,9.3
19460726:0900,14.6,5.9
19460727:0900,13.1,8.8
19460728:0900,12.2,9.4
19460729:0900,12.3,8.5
19460730:0900,13.9,5.2
19460731:0900,11.4,3.6
19460801:0900,12,6
19460802:0900,13.4,8.8
19460803:0900,13.2,8.3
19460804:0900,11.5,5.7
19460805:0900,14,8.8
19460806:0900,14,7.7
19460807:0900,12.3,4.6
19460808:0900,13.8,6.1
19460809:0900,13.8,4.7
19460810:0900,13.3,7.9
19460811:0900,10.7,2.8
19460812:0900,12.7,5.1
19460813:0900,13.4,9.8
19460814:0900,14.2,6.4
19460815:0900,13.7,7.6
19460816:0900,14,3.1
19460817:0900,11.8,7.9
19460818:0900,10.6,3.6
19460819:0900,13.7,8.4
19460820:0900,13.8,7.1
19460821:0900,8.8,5.6
19460822:0900,8.3,5.8
19460823:0900,12.2,6.8
19460824:0900,14.1,8.2
19460825:0900,13.2,8.3
19460826:0900,12.9,7.2
19460827:0900,14.8,5.9
19460828:0900,11.3,3.9
19460829:0900,8.4,4.8
19460830:0900,8,4.3
19460831:0900,9.2,1.7
19460901:0900,11.2,1.7
19460902:0900,11.2,4.9
19460903:0900,10,6.8
19460904:0900,11.7,5
19460905:0900,15.6,6.6
19460906:0900,15.6,5.8
19460907:0900,13.9,9.3
19460908:0900,14.6,10.1
19460909:0900,15.4,8.4
19460910:0900,14.4,9.3
19460911:0900,15.4,11
19460912:0900,15.8,11
19460913:0900,17.4,10.6
19460914:0900,15.4,12.3
19460915:0900,16.1,11.8
19460916:0900,13.6,6.8
19460917:0900,12.8,7.3
19460918:0900,14.2,7.9
19460919:0900,13.9,6.1
19460920:0900,11.9,3.8
19460921:0900,13.9,9.4
19460922:0900,13.2,9.2
19460923:0900,15.1,9
19460924:0900,14.4,9.4
19460925:0900,12.9,6.4
19460926:0900,14.8,6.3
19460927:0900,11.4,5.6
19460928:0900,15.2,5.7
19460929:0900,11.1,5.6
19460930:0900,9.6,3.9
19461001:0900,9.8,6
19461002:0900,12.2,8.6
19461003:0900,14.2,8.4
19461004:0900,13.9,8.8
19461005:0900,12.6,7.7
19461006:0900,14.9,8.3
19461007:0900,15.6,4.6
19461008:0900,13.9,5.9
19461009:0900,15.2,6
19461010:0900,14.9,7.9
19461011:0900,17,5.7
19461012:0900,14.6,7.4
19461013:0900,17.2,7
19461014:0900,16,10.4
19461015:0900,14.3,11.8
19461016:0900,15.9,11.7
19461017:0900,17.3,12.3
19461018:0900,15.4,8.9
19461019:0900,10.1,7.3
19461020:0900,13.4,6.7
19461021:0900,13.1,2
19461022:0900,11.8,3.2
19461023:0900,15,8.2
19461024:0900,15.6,11.3
19461025:0900,14.8,10.6
19461026:0900,14.9,7.8
19461027:0900,14.7,8.1
19461028:0900,15.1,6.3
19461029:0900,14.8,7.9
19461030:0900,16.5,8.2
19461031:0900,15.4,3.7
19461101:0900,15.8,4.1
19461102:0900,14.5,5.8
19461103:0900,17.2,8.9
19461104:0900,15.4,6.6
19461105:0900,15.4,10.2
19461106:0900,19.4,6.1
19461107:0900,16,5.8
19461108:0900,17.2,3.4
19461109:0900,12.1,3.8
19461110:0900,9.9,5.1
19461111:0900,9.7,5.6
19461112:0900,10.3,5.5
19461113:0900,11.9,3.8
19461114:0900,13.6,8.1
19461115:0900,9.8,6
19461116:0900,14.8,6.3
19461117:0900,15.3,6.6
19461118:0900,13.7,5.2
19461119:0900,14.2,6.5
19461120:0900,15.3,4.8
19461121:0900,15.4,6.1
19461122:0900,16,10.5
19461123:0900,16,9
19461124:0900,19.1,10.6
19461125:0900,16.2,9.7
19461126:0900,20.2,9.6
19461127:0900,16.8,11.2
19461128:0900,16.5,12.5
19461129:0900,17.6,11.7
19461130:0900,16.7,8.8
19461201:0900,17.8,7.4
19461202:0900,17.1,10
19461203:0900,16,11
19461204:0900,15.8,9.7
19461205:0900,16.8,10.5
19461206:0900,19.9,10.3
19461207:0900,15.9,8.3
19461208:0900,19.1,11.7
19461209:0900,18.3,13.7
19461210:0900,18.7,14.7
19461211:0900,17.3,11.6
19461212:0900,16.8,5.8
19461213:0900,17.7,11.8
19461214:0900,18.4,9.3
19461215:0900,18.8,11.7
19461216:0900,20.5,12.2
19461217:0900,18.2,13
19461218:0900,19.4,13.3
19461219:0900,16.4,11.7
19461220:0900,17.1,9
19461221:0900,18.3,7.8
19461222:0900,19.7,11.6
19461223:0900,17.1,12.7
19461224:0900,19.3,7.8
19461225:0900,13.2,8.4
19461226:0900,15.1,7
19461227:0900,17.3,10.3
19461228:0900,15.5,9.4
19461229:0900,18.3,5.1
19461230:0900,18.4,10.2
19461231:0900,15.1,11.4
19470101:0900,19.3,12.8
19470102:0900,21.4,9.7
19470103:0900,20.1,11.7
19470104:0900,19.4,12.7
19470105:0900,21.1,7.8
19470106:0900,19.1,8.5
19470107:0900,14.6,6.1
19470108:0900,15.2,8.9
19470109:0900,15.9,11.3
19470110:0900,14.9,11.7
19470111:0900,19,12.4
19470112:0900,17.5,11.7
19470113:0900,18.8,11.7
19470114:0900,19.4,11.3
19470115:0900,16.8,9.7
19470116:0900,16.1,9.3
19470117:0900,17.6,9.3
19470118:0900,18.2,9.3
19470119:0900,20,12.8
19470120:0900,21.1,12.7
19470121:0900,22.2,10.7
19470122:0900,19.3,11.8
19470123:0900,18.7,12
19470124:0900,20.6,12.2
19470125:0900,16.6,13.3
19470126:0900,21.8,8.9
19470127:0900,23.2,13.1
19470128:0900,19.9,13.8
19470129:0900,23.3,13.4
19470130:0900,23.2,12.6
19470131:0900,22.8,15.1
19470201:0900,21.3,14.6
19470202:0900,22.9,15.9
19470203:0900,24.2,14.4
19470204:0900,21.1,10.7
19470205:0900,23.9,16.1
19470206:0900,21,15.8
19470207:0900,23.2,16.3
19470208:0900,20.6,14.8
19470209:0900,24.3,15.3
19470210:0900,24.2,12.1
19470211:0900,18.4,10.4
19470212:0900,21.3,12.9
19470213:0900,26.6,15.7
19470214:0900,27.9,8.8
19470215:0900,13.6,5.6
19470216:0900,11.1,5.6
19470217:0900,13.3,8.4
19470218:0900,14.6,8.5
19470219:0900,19.5,12.8
19470220:0900,16.2,13.9
19470221:0900,20,11.6
19470222:0900,16.7,8.1
19470223:0900,23.4,10.6
19470224:0900,20.2,13.9
19470225:0900,19.6,13
19470226:0900,18.7,10.7
19470227:0900,15.7,9.8
19470228:0900,15.4,6.9
19470301:0900,17.1,11.2
19470302:0900,17.1,7.2
19470303:0900,19.9,14
19470304:0900,21.2,13
19470305:0900,19.4,14.8
19470306:0900,24.6,12.3
19470307:0900,18.4,10.4
19470308:0900,22.8,11.8
19470309:0900,19.8,15.9
19470310:0900,19.3,14.9
19470311:0900,21.8,15.2
19470312:0900,24.1,12.9
19470313:0900,22.2,12.1
19470314:0900,16.2,8.4
19470315:0900,20.8,10.3
19470316:0900,18.7,12.1
19470317:0900,18.9,14.4
19470318:0900,22.1,13.3
19470319:0900,19.9,12.8
19470320:0900,15.9,10.1
19470321:0900,19.9,13.6
19470322:0900,14.3,9.4
19470323:0900,14.9,9.3
19470324:0900,17.3,12.7
19470325:0900,18.6,12.9
19470326:0900,14.6,12.3
19470327:0900,13.3,9.6
19470328:0900,11.7,8.9
19470329:0900,14.4,9.4
19470330:0900,15.4,7.9
19470331:0900,15.4,6.4
19470401:0900,20.6,10.2
19470402:0900,16,13.7
19470403:0900,17.6,12.5
19470404:0900,13.9,9.3
19470405:0900,13.7,5.6
19470406:0900,17.3,8.2
19470407:0900,16.4,7.1
19470408:0900,19.3,8.3
19470409:0900,17.1,12.6
19470410:0900,17.8,6.1
19470411:0900,17.1,11.1
19470412:0900,15.9,8.9
19470413:0900,17.7,12.4
19470414:0900,22.4,15.6
19470415:0900,18.2,7.8
19470416:0900,12.2,8.1
19470417:0900,14.3,7.9
19470418:0900,16.7,5.9
19470419:0900,17.6,8.8
19470420:0900,15.7,11.2
19470421:0900,13.3,10.4
19470422:0900,14.3,7.9
19470423:0900,16.8,9.7
19470424:0900,15.7,11.7
19470425:0900,16.8,12.2
19470426:0900,14.2,10.6
19470427:0900,18.2,12.2
19470428:0900,18.8,9.9
19470429:0900,15.9,9.3
19470430:0900,16.4,10.1
19470501:0900,16,8.9
19470502:0900,17.3,11.6
19470503:0900,20.1,10.6
19470504:0900,19.9,12.3
19470505:0900,16.1,9.7
19470506:0900,14.7,4.1
19470507:0900,15.7,8.9
19470508:0900,15.1,13.4
19470509:0900,17,13.3
19470510:0900,19.6,8.2
19470511:0900,15.4,6.1
19470512:0900,14.6,9.3
19470513:0900,16.7,8.8
19470514:0900,15.4,9.9
19470515:0900,13.1,7.2
19470516:0900,11.6,7.4
19470517:0900,11.6,6.2
19470518:0900,14.6,6.2
19470519:0900,15.8,5.8
19470520:0900,16.9,7.5
19470521:0900,13.3,6.1
19470522:0900,13.9,7.3
19470523:0900,12,8.1
19470524:0900,11.1,6.6
19470525:0900,11.7,3.9
19470526:0900,11.3,6.7
19470527:0900,15.5,6.6
19470528:0900,14,9.7
19470529:0900,14.6,9.5
19470530:0900,10.1,4.6
19470531:0900,8.1,4.3
19470601:0900,10.5,4.2
19470602:0900,10.1,6.6
19470603:0900,11.2,6.3
19470604:0900,10.8,5.7
19470605:0900,11,3.6
19470606:0900,12.2,7.1
19470607:0900,13.1,9.4
19470608:0900,13.4,10.9
19470609:0900,14.9,11.2
19470610:0900,15.4,9.6
19470611:0900,15,4.9
19470612:0900,13,8.2
19470613:0900,13.4,5.6
19470614:0900,8.9,4.2
19470615:0900,12.6,7.3
19470616:0900,10,4.6
19470617:0900,12.9,5.7
19470618:0900,12,6.7
19470619:0900,12.2,6.1
19470620:0900,11.7,5.6
19470621:0900,10.8,7.8
19470622:0900,10.6,5.6
19470623:0900,12.9,6.2
19470624:0900,13.7,10.6
19470625:0900,12.2,6.2
19470626:0900,12.7,6.1
19470627:0900,7.2,5
19470628:0900,6.4,3.9
19470629:0900,7.2,3.9
19470630:0900,7.2,3.9
19470701:0900,6.6,1.8
19470702:0900,9.9,0.2
19470703:0900,8.1,2.1
19470704:0900,9.4,5
19470705:0900,8.1,5.1
19470706:0900,11.6,4.9
19470707:0900,11.9,8.9
19470708:0900,14.7,6.7
19470709:0900,14.8,6.7
19470710:0900,14.7,7.3
19470711:0900,14.3,10.2
19470712:0900,11.2,9.4
19470713:0900,11.6,7.8
19470714:0900,9.9,3.9
19470715:0900,12.1,8.3
19470716:0900,11.2,8.9
19470717:0900,13.7,9
19470718:0900,11.5,8.9
19470719:0900,12.8,3.2
19470720:0900,9.6,3.7
19470721:0900,12.7,6.7
19470722:0900,9.3,3.4
19470723:0900,15.6,5.2
19470724:0900,13.2,3.9
19470725:0900,12.3,3.2
19470726:0900,11.2,3.2
19470727:0900,12,6.9
19470728:0900,14,5.3
19470729:0900,7.7,2.1
19470730:0900,10.7,1.6
19470731:0900,10.9,3.4
19470801:0900,8.3,1.7
19470802:0900,12.7,5
19470803:0900,13.6,8.9
19470804:0900,13.8,9.6
19470805:0900,12.1,10.2
19470806:0900,13.5,9.9
19470807:0900,15.1,8.8
19470808:0900,11.2,2.3
19470809:0900,7,0.8
19470810:0900,7.9,2.4
19470811:0900,8.7,5.9
19470812:0900,11.1,5.6
19470813:0900,12.8,4
19470814:0900,13.9,6.6
19470815:0900,13.4,8.4
19470816:0900,14.4,6.9
19470817:0900,12.7,6.9
19470818:0900,8.8,5.9
19470819:0900,9,5.3
19470820:0900,11.9,3.1
19470821:0900,10.1,1.7
19470822:0900,11.7,2.8
19470823:0900,13.3,3.6
19470824:0900,15.5,6.6
19470825:0900,15.5,8.7
19470826:0900,18.5,9.5
19470827:0900,14.8,8.9
19470828:0900,13.2,7.8
19470829:0900,10.1,5.9
19470830:0900,10.6,2.3
19470831:0900,12.6,7.8
19470901:0900,13.2,7.7
19470902:0900,12.7,4.1
19470903:0900,9.4,2.3
19470904:0900,15.4,5.6
19470905:0900,13.6,9.1
19470906:0900,13.9,7.3
19470907:0900,9.9,6
19470908:0900,13.4,5.6
19470909:0900,15.8,8.1
19470910:0900,12.8,8.1
19470911:0900,13.8,8.3
19470912:0900,11.1,5.6
19470913:0900,13.4,4.9
19470914:0900,11.6,4.1
19470915:0900,14.2,5
19470916:0900,17.7,10.4
19470917:0900,15.1,9.9
19470918:0900,14.2,10.1
19470919:0900,15.4,5.1
19470920:0900,14.5,8.4
19470921:0900,14,7.8
19470922:0900,13,5
19470923:0900,15.9,8.1
19470924:0900,12.7,8.8
19470925:0900,14.1,10.6
19470926:0900,12.9,3.4
19470927:0900,12.4,3.4
19470928:0900,15.6,8.6
19470929:0900,13.8,10.7
19470930:0900,14.3,11
19471001:0900,13.3,8.3
19471002:0900,13.2,7.8
19471003:0900,16.7,9
19471004:0900,14.4,7.6
19471005:0900,17,7.8
19471006:0900,13.4,9.7
19471007:0900,15.5,12.1
19471008:0900,15.6,10.4
19471009:0900,15.3,7.7
19471010:0900,13.6,7.7
19471011:0900,11.9,9.2
19471012:0900,15.1,9.3
19471013:0900,14.8,6.3
19471014:0900,9.3,4.5
19471015:0900,11.7,4.4
19471016:0900,13.2,8.9
19471017:0900,14.9,11.2
19471018:0900,13.7,9.6
19471019:0900,17.4,6.3
19471020:0900,16.4,11
19471021:0900,18.6,11.4
19471022:0900,17.6,11.9
19471023:0900,18.1,12.1
19471024:0900,16.2,11.7
19471025:0900,21,13.4
19471026:0900,19.4,13.4
19471027:0900,18.7,12.1
19471028:0900,15.6,4.7
19471029:0900,6.6,3.4
19471030:0900,8.6,4.4
19471031:0900,15.7,5.6
19471101:0900,12.9,5.4
19471102:0900,11.6,3.3
19471103:0900,16.2,7.3
19471104:0900,15.4,11.2
19471105:0900,14.9,11.7
19471106:0900,15.5,12.3
19471107:0900,17.6,11.7
19471108:0900,15.7,10.4
19471109:0900,16.7,10.4
19471110:0900,17.7,8.9
19471111:0900,15.4,11.2
19471112:0900,16.1,9.9
19471113:0900,15.5,5.6
19471114:0900,17.3,6.9
19471115:0900,15,7.4
19471116:0900,16.7,7.3
19471117:0900,19,11.8
19471118:0900,16.2,8.9
19471119:0900,14.7,7.3
19471120:0900,17.1,7.8
19471121:0900,15.5,8.6
19471122:0900,17.8,10.1
19471123:0900,19.3,10.7
19471124:0900,18.3,11.4
19471125:0900,19.3,12.3
19471126:0900,19.4,13.4
19471127:0900,20.1,13.7
19471128:0900,21.2,13.8
19471129:0900,23.3,15.4
19471130:0900,22.2,11.2
19471201:0900,18.4,11.4
19471202:0900,13.1,8.8
19471203:0900,14.1,8.1
19471204:0900,15.1,6.2
19471205:0900,17.8,10.3
19471206:0900,20.2,12.8
19471207:0900,18.1,12.8
19471208:0900,19,12.2
19471209:0900,16.6,11.3
19471210:0900,18.4,12.1
19471211:0900,18.4,8.8
19471212:0900,22.8,10.8
19471213:0900,21.8,11.7
19471214:0900,17.8,10.4
19471215:0900,20.6,12.9
19471216:0900,21.8,13.8
19471217:0900,21.3,13.4
19471218:0900,23.3,14.2
19471219:0900,24.2,13.9
19471220:0900,20.8,14.7
19471221:0900,22.2,16.1
19471222:0900,19.1,10.3
19471223:0900,17.4,8.8
19471224:0900,17.7,13.9
19471225:0900,20.8,12.4
19471226:0900,23.5,16
19471227:0900,20.1,14.7
19471228:0900,21.5,14
19471229:0900,21,10
19471230:0900,21.4,12.8
19471231:0900,20.4,14.8
19480101:0900,22.2,12.7
19480102:0900,23.8,13
19480103:0900,26.3,14.4
19480104:0900,26.5,16.2
19480105:0900,27.7,16.4
19480106:0900,27.8,17.9
19480107:0900,24.6,16.6
19480108:0900,23.1,17.4
19480109:0900,23,16.2
19480110:0900,20.6,13.2
19480111:0900,17.3,12.7
19480112:0900,19.9,14.1
19480113:0900,20.6,13.1
19480114:0900,20.5,13.3
19480115:0900,21.9,14.4
19480116:0900,22.8,15.6
19480117:0900,17.5,12.6
19480118:0900,13.7,10.4
19480119:0900,15.2,10.6
19480120:0900,16.1,10.1
19480121:0900,21.2,13.1
19480122:0900,20.1,15.4
19480123:0900,21.7,11.7
19480124:0900,20.6,12.4
19480125:0900,20.1,13.6
19480126:0900,23.4,11.7
19480127:0900,23.8,14.4
19480128:0900,23,12.6
19480129:0900,25.4,15.1
19480130:0900,22.2,16.4
19480131:0900,21.3,16.9
19480201:0900,20,14.4
19480202:0900,20.6,14.1
19480203:0900,22.8,17.3
19480204:0900,19.4,10.6
19480205:0900,16.1,10.1
19480206:0900,20.5,10.6
19480207:0900,24.5,11.7
19480208:0900,23.8,15.7
19480209:0900,22.9,8.3
19480210:0900,18.4,11.6
19480211:0900,22.2,11.9
19480212:0900,21.1,14.4
19480213:0900,24.4,11.1
19480214:0900,22.9,12.4
19480215:0900,25.9,15.1
19480216:0900,24.2,15
19480217:0900,19.6,11.5
19480218:0900,22.8,16.4
19480219:0900,21.4,13.4
19480220:0900,23.3,15.4
19480221:0900,19.4,16.2
19480222:0900,23.1,11.8
19480223:0900,22.1,13.8
19480224:0900,19,12.2
19480225:0900,16.8,9.5
19480226:0900,15.7,9.5
19480227:0900,15.6,8.4
19480228:0900,17.8,8.6
19480229:0900,20.7,15
19480301:0900,22.1,14.7
19480302:0900,22.7,17.3
19480303:0900,21.3,17.1
19480304:0900,23.7,13.4
19480305:0900,22.4,13.4
19480306:0900,18.9,11.7
19480307:0900,20.9,13.6
19480308:0900,20.9,14.2
19480309:0900,20.3,12.7
19480310:0900,21.7,12.1
19480311:0900,20.2,12.7
19480312:0900,19.3,12.4
19480313:0900,19.9,11
19480314:0900,17.1,8.2
19480315:0900,20.3,12.8
19480316:0900,18.2,13.4
19480317:0900,15.4,12.2
19480318:0900,16.7,8.9
19480319:0900,20.3,12.9
19480320:0900,20.2,14.1
19480321:0900,19.1,8.7
19480322:0900,17.4,10.7
19480323:0900,20.1,10.4
19480324:0900,22.8,9.9
19480325:0900,17.9,12.7
19480326:0900,18.7,12
19480327:0900,19.5,14.2
19480328:0900,20.8,16
19480329:0900,19,16.5
19480330:0900,19.1,14.7
19480331:0900,20.1,12.4
19480401:0900,14.5,12.3
19480402:0900,16.7,11.6
19480403:0900,21.2,14.5
19480404:0900,21.6,13.7
19480405:0900,19.6,13
19480406:0900,18.6,9.7
19480407:0900,17.6,7.7
19480408:0900,12.1,5.2
19480409:0900,11.7,6.5
19480410:0900,16.7,8.8
19480411:0900,13.9,8.7
19480412:0900,15.6,8.6
19480413:0900,14.7,11.7
19480414:0900,17.7,10.3
19480415:0900,17.5,10.9
19480416:0900,19.6,10.1
19480417:0900,20.2,12.2
19480418:0900,17.9,11.4
19480419:0900,18,11.1
19480420:0900,17.1,12.7
19480421:0900,17.9,12
19480422:0900,13.6,11.7
19480423:0900,16.4,12.3
19480424:0900,15.6,12.3
19480425:0900,16.6,10.6
19480426:0900,15.9,5.7
19480427:0900,13.7,4
19480428:0900,14.7,7.8
19480429:0900,16,8.1
19480430:0900,15.4,10.7
19480501:0900,16.7,8.2
19480502:0900,17.2,8.6
19480503:0900,15.7,9.8
19480504:0900,15.4,7.7
19480505:0900,15.9,11.9
19480506:0900,15.1,6.8
19480507:0900,9.9,5.2
19480508:0900,14.1,5.1
19480509:0900,14.4,11.1
19480510:0900,14,10.1
19480511:0900,13.4,6.2
19480512:0900,10.3,4.4
19480513:0900,8.3,5.5
19480514:0900,9.1,6.5
19480515:0900,10.8,7.5
19480516:0900,15,8.3
19480517:0900,17.2,7.2
19480518:0900,16.5,10.5
19480519:0900,12.2,9.3
19480520:0900,13.9,10.4
19480521:0900,14.1,11.4
19480522:0900,14.9,9.4
19480523:0900,14.6,10.1
19480524:0900,11.3,9.2
19480525:0900,15.6,7.1
19480526:0900,14.7,9.1
19480527:0900,14.5,8.8
19480528:0900,14.3,9.2
19480529:0900,12,8.8
19480530:0900,14.9,11.1
19480531:0900,14.1,10.7
19480601:0900,13.8,6.1
19480602:0900,10.4,3.9
19480603:0900,13.1,5.5
19480604:0900,13.7,6.7
19480605:0900,13.1,6.9
19480606:0900,10.9,6.6
19480607:0900,10.1,5.8
19480608:0900,7.7,5
19480609:0900,7.9,3.5
19480610:0900,10.1,5
19480611:0900,8.7,4.3
19480612:0900,10.7,4.5
19480613:0900,11,4.3
19480614:0900,10.7,6.1
19480615:0900,8.4,1.7
19480616:0900,10.3,4.4
19480617:0900,10.5,4
19480618:0900,10.5,2.8
19480619:0900,11,4.3
19480620:0900,8.9,4.7
19480621:0900,13.1,8.8
19480622:0900,13.3,9.1
19480623:0900,10.9,7
19480624:0900,10.7,4.4
19480625:0900,13.1,9.2
19480626:0900,10.3,8.1
19480627:0900,10.8,5.7
19480628:0900,12.9,8.8
19480629:0900,10.9,6.4
19480630:0900,13.1,7.2
19480701:0900,16,5
19480702:0900,13.2,7.4
19480703:0900,15.4,8.8
19480704:0900,10.4,5.6
19480705:0900,9.6,3.8
19480706:0900,12.4,3.9
19480707:0900,12.2,7.4
19480708:0900,13.1,9
19480709:0900,11.9,7.6
19480710:0900,12.9,7.3
19480711:0900,11.7,8.2
19480712:0900,14,4.2
19480713:0900,14.1,5.2
19480714:0900,12.3,6.4
19480715:0900,11.4,7.9
19480716:0900,9.3,6.5
19480717:0900,10.6,7.4
19480718:0900,9.9,5.3
19480719:0900,7.8,4.7
19480720:0900,7.8,5.6
19480721:0900,8.4,6.1
19480722:0900,8.3,6.3
19480723:0900,11.1,7.9
19480724:0900,13.9,7.8
19480725:0900,10.8,6.2
19480726:0900,12.1,8
19480727:0900,11.9,7.9
19480728:0900,10.1,4.6
19480729:0900,12.7,6.2
19480730:0900,12.9,6.6
19480731:0900,10.7,5.6
19480801:0900,8.2,4.1
19480802:0900,7.6,3.7
19480803:0900,8.8,2.4
19480804:0900,11.4,7.7
19480805:0900,12.9,7.7
19480806:0900,16.1,8.8
19480807:0900,13.9,10.2
19480808:0900,11.8,7.1
19480809:0900,10.9,5.6
19480810:0900,10.5,4.3
19480811:0900,13.9,5.9
19480812:0900,15.4,3.4
19480813:0900,13.3,6.1
19480814:0900,16.7,5
19480815:0900,13.4,4.6
19480816:0900,15.9,6.2
19480817:0900,14.4,7.4
19480818:0900,13.6,7.7
19480819:0900,9.9,5.3
19480820:0900,10,4.4
19480821:0900,7.9,4.3
19480822:0900,9.6,1.2
19480823:0900,10.4,4.3
19480824:0900,11.6,6.7
19480825:0900,13.9,8.3
19480826:0900,14.6,8.9
19480827:0900,14.8,7.7
19480828:0900,8.6,5.6
19480829:0900,13.1,6.3
19480830:0900,11.7,3.4
19480831:0900,13.8,3.4
19480901:0900,13.4,7.7
19480902:0900,13.8,8.3
19480903:0900,17.4,8.5
19480904:0900,14.1,4.8
19480905:0900,8.5,5.1
19480906:0900,10.1,5.7
19480907:0900,14.9,7.2
19480908:0900,13.3,8.9
19480909:0900,12.1,5.2
19480910:0900,14.7,9.1
19480911:0900,13.9,4.4
19480912:0900,15.9,8.3
19480913:0900,15,7.2
19480914:0900,15.2,8.8
19480915:0900,16.4,7.3
19480916:0900,15.6,4.9
19480917:0900,17.7,5.8
19480918:0900,17,7.8
19480919:0900,11.7,8.7
19480920:0900,14,9.2
19480921:0900,14.3,5.6
19480922:0900,11.2,5.3
19480923:0900,14.4,9.4
19480924:0900,14.1,10.9
19480925:0900,14.4,8.2
19480926:0900,16.3,9.7
19480927:0900,15.6,10.1
19480928:0900,14.3,11.7
19480929:0900,15.6,7.7
19480930:0900,14.1,8.9
19481001:0900,14.5,2.8
19481002:0900,12.7,3.8
19481003:0900,12.1,4.6
19481004:0900,11.1,5.5
19481005:0900,10.3,7.7
19481006:0900,12.6,7.8
19481007:0900,14.1,6.2
19481008:0900,17.3,8.9
19481009:0900,14.7,6.1
19481010:0900,14.2,5.3
19481011:0900,18.9,6.4
19481012:0900,12.1,3.7
19481013:0900,15.7,10.2
19481014:0900,16.7,8.9
19481015:0900,11.8,6.6
19481016:0900,15.7,8.8
19481017:0900,15.8,7.4
19481018:0900,12.7,8.7
19481019:0900,19.2,7.6
19481020:0900,15.3,11.4
19481021:0900,15.8,9.7
19481022:0900,17,8.8
19481023:0900,15.7,9.8
19481024:0900,12.3,7.4
19481025:0900,14.6,9
19481026:0900,14,4.4
19481027:0900,14.3,8.9
19481028:0900,16.3,10.1
19481029:0900,14.8,12.1
19481030:0900,16.2,11.6
19481031:0900,16.8,10.7
19481101:0900,16.9,10
19481102:0900,17.8,14.1
19481103:0900,21.8,8.6
19481104:0900,15.1,8.7
19481105:0900,18.7,10.7
19481106:0900,18.4,9.4
19481107:0900,18.1,9.7
19481108:0900,15.7,11.4
19481109:0900,17.3,12.7
19481110:0900,16.8,11.1
19481111:0900,18.2,10.9
19481112:0900,15.6,8.3
19481113:0900,14.8,6.8
19481114:0900,16.6,6.8
19481115:0900,11.5,7.3
19481116:0900,14.4,8.8
19481117:0900,13.6,5.2
19481118:0900,11,6.1
19481119:0900,13.7,7.8
19481120:0900,15,8.7
19481121:0900,15.1,9.9
19481122:0900,13.2,9.3
19481123:0900,14.4,8.1
19481124:0900,19.6,8.8
19481125:0900,19.6,9.9
19481126:0900,17.1,6.4
19481127:0900,20.7,10.6
19481128:0900,17.2,11
19481129:0900,16.8,7.5
19481130:0900,17.7,12.2
19481201:0900,20.4,8.9
19481202:0900,17.2,3.4
19481203:0900,13.8,8.8
19481204:0900,18.1,11.4
19481205:0900,16.7,11.4
19481206:0900,16.7,11.1
19481207:0900,16.7,12.2
19481208:0900,16.3,10.7
19481209:0900,17.7,9.1
19481210:0900,16.6,7.2
19481211:0900,18.7,9.7
19481212:0900,19.8,10.7
19481213:0900,21.1,12.9
19481214:0900,20.3,14.3
19481215:0900,19.4,13.9
19481216:0900,21.7,7.7
19481217:0900,19.8,11.2
19481218:0900,17.5,12.2
19481219:0900,18.7,12.8
19481220:0900,19.9,15.1
19481221:0900,17.9,11.7
19481222:0900,17.9,11.8
19481223:0900,22.3,11.9
