Date,Tmax,Tmin
19400803:0900,10.8,4.7
19400804:0900,12.7,3.4
19400805:0900,10.1,1.7
19400806:0900,11.1,3.3
19400807:0900,10.3,7.2
19400808:0900,12.5,6.8
19400809:0900,9.5,7.6
19400810:0900,10.2,7.4
19400811:0900,11.7,7.1
19400812:0900,14.6,9.3
19400813:0900,14.1,10.3
19400814:0900,15.2,6.7
19400815:0900,12.2,6.1
19400816:0900,9.7,5.8
19400817:0900,13.1,5.7
19400818:0900,9.3,3.8
19400819:0900,9.8,4.1
19400820:0900,14.1,3.2
19400821:0900,12.3,6.4
19400822:0900,14.4,8.1
19400823:0900,15.6,8.5
19400824:0900,13.7,4.4
19400825:0900,12,4.3
19400826:0900,12.7,8.2
19400827:0900,12.2,8.8
19400828:0900,13.4,9.9
19400829:0900,12.1,9.1
19400830:0900,16.3,8.1
19400831:0900,11.3,6.9
19400901:0900,12.4,8.4
19400902:0900,12.2,7.9
19400903:0900,15.1,8.9
19400904:0900,16.7,5.6
19400905:0900,9.4,6.4
19400906:0900,13.9,7.1
19400907:0900,12.1,8.3
19400908:0900,12.7,9.1
19400909:0900,15.9,5.8
19400910:0900,16.1,9.5
19400911:0900,10.8,7.3
19400912:0900,10.8,6.1
19400913:0900,10.5,6.1
19400914:0900,11.7,4.9
19400915:0900,12.6,8.9
19400916:0900,12.7,4.7
19400917:0900,8.6,5.9
19400918:0900,12.8,5.6
19400919:0900,17.1,6.8
19400920:0900,15.1,10.4
19400921:0900,16.4,8.4
19400922:0900,11.8,4.3
19400923:0900,14.2,8.7
19400924:0900,16.1,9.1
19400925:0900,17.2,11
19400926:0900,17.6,10
19400927:0900,16.7,10
19400928:0900,16.1,10.6
19400929:0900,16.7,8.4
19400930:0900,13.9,10.7
19401001:0900,14.4,7
19401002:0900,11.2,6.3
19401003:0900,11.2,4.5
19401004:0900,14.4,7.9
19401005:0900,12.7,5.4
19401006:0900,11.8,4.3
19401007:0900,14.7,8.8
19401008:0900,15.7,8.2
19401009:0900,9.7,4.2
19401010:0900,10,2.8
19401011:0900,14.7,5.9
19401012:0900,17.1,5.2
19401013:0900,14,10
19401014:0900,16.4,5.3
19401015:0900,13.4,6.3
19401016:0900,14.1,10.7
19401017:0900,14.8,12.2
19401018:0900,15.8,12.3
19401019:0900,14.3,5.6
19401020:0900,15.7,7.3
19401021:0900,18.1,8.1
19401022:0900,16.2,7.3
19401023:0900,17.3,10.4
19401024:0900,16.2,11.1
19401025:0900,14.3,10
19401026:0900,15.2,3.9
19401027:0900,14.5,9.4
19401028:0900,14.4,10
19401029:0900,15,9
19401030:0900,14.4,5.6
19401031:0900,15.6,7.8
19401101:0900,16.9,7.1
19401102:0900,17.9,8.8
19401103:0900,15.5,9.7
19401104:0900,13.6,8.4
19401105:0900,14.3,8.2
19401106:0900,16.3,10.1
19401107:0900,15.2,8.5
19401108:0900,13.6,5.6
19401109:0900,10,6.7
19401110:0900,12.7,5.6
19401111:0900,17,10.1
19401112:0900,18.9,10.8
19401113:0900,22.3,11.9
19401114:0900,18.9,13
19401115:0900,17.4,8.6
19401116:0900,19.7,7.7
19401117:0900,16.4,9.9
19401118:0900,17.2,8.9
19401119:0900,15.3,9.3
19401120:0900,16.4,6.2
19401121:0900,11.9,6.8
19401122:0900,13.7,6.4
19401123:0900,13.9,7.9
19401124:0900,11.5,7.2
19401125:0900,14.7,7.8
19401126:0900,19.3,8.7
19401127:0900,20.6,10.6
19401128:0900,17.1,10.1
19401129:0900,21,12.3
19401130:0900,18.3,12.8
19401201:0900,20.2,12.5
19401202:0900,18.4,10.9
19401203:0900,17.6,11.2
19401204:0900,18.2,12.1
19401205:0900,17.7,13.2
19401206:0900,17.3,11.4
19401207:0900,14.1,11.1
19401208:0900,18.5,10.6
19401209:0900,19.2,14.9
19401210:0900,17.8,14.1
