Analysis,Horizon,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Rb,Sr,Zr,Nb,Ba,La,Yb,Pb,Th,U
EYS6_36,B,77.55,0.07,12.51,1.21,0.04,0.00,0.57,3.27,4.79,271,1.6,186,75,17,46,10.4,47,33,10.1
EYS6_37,B,77.11,0.08,12.23,1.36,0.03,0.01,0.60,3.48,5.10,250,3.6,232,69,48,86,9.1,45,32,7.8
EYS6_39,B,77.32,0.09,12.19,1.30,0.00,0.01,0.54,3.71,4.82,241,3.0,230,69,50,82,7.8,41,32,9.0
EYS6_4,B,77.65,0.06,12.31,1.32,0.02,0.00,0.58,3.25,4.81,261,2.0,178,74,21,49,9.5,46,31,8.8
EYS6_4_2,B,77.07,0.07,12.57,1.22,0.01,0.01,0.56,3.50,4.99,270,1.9,179,71,17,44,9.2,50,31,9.5
EYS6_40,B,77.25,0.06,12.59,1.42,0.04,0.01,0.57,3.43,4.63,242,3.4,212,71,52,79,8.7,40,31,7.7
EYS6_5,B,77.17,0.07,12.54,1.22,0.02,0.00,0.53,3.34,5.10,256,2.1,172,71,18,48,10.9,48,34,9.0
EYS6_5_2,B,77.57,0.08,12.08,1.34,0.01,0.01,0.55,3.53,4.85,247,1.6,176,71,18,43,9.5,50,31,9.5
EYS6_6,B,77.15,0.09,12.49,1.32,0.01,0.00,0.56,3.39,4.99,255,1.5,164,67,17,45,9.4,47,36,9.5
EYS72_1,C,77.25,0.00,12.24,1.28,0.00,0.00,0.50,3.60,5.14,253,3.3,211,68,42,79,7.5,45,35,9.3
EYS72_11,C,77.07,0.00,12.28,1.34,0.00,0.00,0.53,3.86,4.92,247,3.0,224,70,47,84,10.5,47,36,9.6
EYS72_11_2,C,76.86,0.00,12.35,1.40,0.00,0.00,0.51,3.67,5.21,239,3.0,211,67,42,76,9.4,43,33,8.9
EYS72_12,C,77.14,0.00,12.19,1.37,0.00,0.00,0.52,3.69,5.09,249,3.9,222,69,48,83,10.3,46,36,9.6
EYS72_14,C,77.32,0.00,12.39,1.38,0.00,0.00,0.50,3.30,5.11,251,3.6,223,71,44,83,10.3,49,36,9.0
EYS72_14_2,C,77.12,0.00,12.21,1.29,0.00,0.00,0.53,3.66,5.19,248,3.7,214,69,50,82,9.4,51,35,9.5
EYS72_15,C,77.05,0.00,12.18,1.33,0.00,0.00,0.55,3.57,5.33,248,3.2,219,69,47,80,9.1,47,36,8.9
EYS72_16,C,76.96,0.00,12.40,1.34,0.00,0.00,0.52,3.66,5.13,242,3.1,217,67,49,77,9.7,46,36,9.0
EYS72_16_2,C,77.32,0.00,12.13,1.28,0.00,0.00,0.54,3.56,5.17,251,3.6,220,71,50,82,9.0,49,35,9.8
EYS72_17,C,77.28,0.00,12.41,1.29,0.00,0.00,0.51,3.48,5.03,245,3.4,214,71,47,81,9.3,44,34,9.0
EYS72_18,C,77.15,0.00,12.50,1.37,0.00,0.00,0.50,3.45,5.03,248,3.4,218,69,45,83,8.2,48,34,8.7
EYS72_20,C,76.97,0.00,12.35,1.37,0.00,0.00,0.52,3.50,5.29,254,3.0,232,67,42,84,9.2,49,38,9.4
EYS72_20_2,C,77.41,0.00,12.07,1.34,0.00,0.00,0.51,3.34,5.34,249,3.5,217,70,47,84,11.3,45,35,9.5
EYS72_22,C,77.13,0.00,12.25,1.34,0.00,0.00,0.50,3.46,5.33,247,3.1,217,70,45,81,9.5,44,33,8.7
EYS72_22_2,C,77.37,0.00,12.06,1.24,0.00,0.00,0.55,3.58,5.20,255,3.9,229,73,42,83,9.3,47,37,10.4
EYS72_25,C,77.02,0.00,12.29,1.37,0.00,0.00,0.55,3.59,5.18,242,3.5,215,69,47,77,9.3,42,33,9.9
EYS72_25_2,C,77.59,0.00,12.13,1.31,0.00,0.00,0.49,3.41,5.07,247,3.6,225,70,53,84,8.9,43,36,9.8
EYS72_26,C,77.30,0.00,12.27,1.34,0.00,0.00,0.54,3.41,5.15,224,6.0,232,67,124,94,8.6,41,33,7.9
EYS72_28,C,76.55,0.00,12.64,1.34,0.00,0.00,0.52,3.74,5.20,233,3.1,211,69,43,80,8.9,43,35,8.5
EYS72_28_2,C,77.05,0.00,12.27,1.36,0.00,0.00,0.57,3.43,5.32,248,4.1,211,70,44,78,9.2,47,34,8.6
EYS72_3,C,76.85,0.00,12.47,1.38,0.00,0.00,0.52,3.58,5.19,246,3.0,214,66,44,82,10.0,46,35,9.0
EYS72_3_2,C,77.33,0.00,12.27,1.29,0.00,0.00,0.51,3.51,5.09,242,2.9,217,70,50,78,8.8,48,35,9.0
EYS72_31,C,77.10,0.00,12.38,1.37,0.00,0.00,0.51,3.49,5.15,251,3.4,231,72,54,81,10.2,47,34,9.2
EYS72_34,C,77.24,0.00,12.41,1.35,0.00,0.00,0.50,3.14,5.36,251,3.5,224,68,45,81,9.4,45,34,8.6
EYS72_4,C,77.19,0.00,12.27,1.43,0.00,0.00,0.53,3.40,5.18,215,6.4,210,60,127,83,7.4,42,30,7.9
EYS72_4_2,C,77.04,0.00,12.39,1.36,0.00,0.00,0.52,3.57,5.12,219,6.8,211,62,138,83,7.3,41,31,7.8
EYS72_40,C,76.90,0.00,12.56,1.27,0.00,0.00,0.54,3.53,5.20,260,3.3,220,70,44,81,11.0,45,34,8.9
EYS72_47,C,77.11,0.00,12.40,1.21,0.00,0.00,0.53,3.57,5.17,248,3.7,219,67,46,78,8.4,44,33,8.1
EYS72_5,C,77.01,0.00,12.43,1.38,0.00,0.00,0.50,3.53,5.15,249,3.7,216,70,46,82,10.6,45,35,9.4
EYS72_57,C,77.29,0.00,12.38,1.26,0.00,0.00,0.54,3.43,5.09,257,3.2,227,70,38,83,10.0,50,35,9.9
EYS72_6,C,77.25,0.00,12.18,1.40,0.00,0.00,0.53,3.50,5.14,244,3.7,211,68,49,80,8.7,46,34,9.4
EYS72_6_2,C,77.32,0.00,12.35,1.30,0.00,0.00,0.52,3.36,5.15,242,3.5,216,67,52,76,8.7,43,34,8.8
EYS72_7,C,77.11,0.00,12.20,1.27,0.00,0.00,0.49,3.56,5.37,244,3.3,214,68,42,80,9.5,45,32,8.9
EYS72_8,C,77.40,0.00,12.23,1.35,0.00,0.00,0.57,3.34,5.11,218,6.5,210,61,140,85,9.2,39,30,7.5
EYS8_1,D,76.81,0.09,12.37,1.42,0.02,0.03,0.57,3.48,5.21,216,6.2,219,62,141,83,7.8,41,31,7.2
EYS8_10,D,76.72,0.08,12.42,1.33,0.02,0.03,0.54,3.73,5.13,233,2.4,207,64,44,77,8.2,41,36,8.8
