Date,Temperature
19721024:0900,14.3
19721025:0900,13.9
19721026:0900,14
19721027:0900,10.7
19721028:0900,11.3
19721029:0900,13.2
19721030:0900,13.4
19721031:0900,12.5
19721101:0900,14.3
19721102:0900,14.4
19721103:0900,14.6
19721104:0900,14.3
19721105:0900,16
19721106:0900,15.8
19721107:0900,15.3
19721108:0900,15.4
19721109:0900,15.4
19721110:0900,13.9
19721111:0900,15.6
19721112:0900,16.1
19721113:0900,14.6
19721114:0900,16.2
19721115:0900,14.5
19721116:0900,15.4
19721117:0900,14.4
19721118:0900,11.7
19721119:0900,13.3
19721120:0900,15.7
19721121:0900,17.4
19721122:0900,16.9
19721123:0900,15.7
19721124:0900,13.9
19721125:0900,13
19721126:0900,14.4
19721127:0900,15.2
19721128:0900,16.2
19721129:0900,14.4
19721130:0900,14.4
19721201:0900,12.8
19721202:0900,10.3
19721203:0900,10.9
19721204:0900,12.4
19721205:0900,13.6
19721206:0900,13.5
19721207:0900,13.6
19721208:0900,15.6
19721209:0900,15.3
19721210:0900,15
19721211:0900,14.8
19721212:0900,16.1
19721213:0900,14.9
19721214:0900,11.7
19721215:0900,13.2
19721216:0900,15.6
19721217:0900,16.9
19721218:0900,16.6
19721219:0900,13.9
19721220:0900,14.6
19721221:0900,13.5
19721222:0900,15.1
19721223:0900,15.3
19721224:0900,15.5
19721225:0900,14.4
19721226:0900,13
19721227:0900,14
19721228:0900,13.3
19721229:0900,15
19721230:0900,16.1
19721231:0900,17.2
19730101:0900,18.1
19730102:0900,17.5
19730103:0900,16.9
19730104:0900,18.1
19730105:0900,18.6
19730106:0900,18.6
19730107:0900,19
19730108:0900,18.2
19730109:0900,16.5
19730110:0900,16.5
19730111:0900,17.6
19730112:0900,14
19730113:0900,15
19730114:0900,15.6
19730115:0900,17
19730116:0900,18
19730117:0900,16.2
19730118:0900,15.8
19730119:0900,17.9
19730120:0900,17.9
19730121:0900,18.2
19730122:0900,18.6
19730123:0900,17.9
19730124:0900,16
19730125:0900,14.1
19730126:0900,17.1
19730127:0900,17.2
19730128:0900,17.4
19730129:0900,16.3
19730130:0900,14.5
19730131:0900,17.5
19730201:0900,18
19730202:0900,18.9
19730203:0900,18.9
19730204:0900,18.5
19730205:0900,18.8
19730206:0900,19.4
19730207:0900,21.3
19730208:0900,19
19730209:0900,17
19730210:0900,18.6
19730211:0900,17.1
19730212:0900,17.2
19730213:0900,15
19730214:0900,14.5
19730215:0900,14.8
19730216:0900,16.6
19730217:0900,17.4
19730218:0900,16.9
19730219:0900,16.2
19730220:0900,18.3
19730221:0900,18.4
19730222:0900,18.5
19730223:0900,18
19730224:0900,17
19730225:0900,19.3
19730226:0900,18
19730227:0900,16.8
19730228:0900,17.7
19730301:0900,18.5
19730302:0900,17.9
19730303:0900,19.1
19730304:0900,18.6
19730305:0900,18.4
19730306:0900,17.7
19730307:0900,14
19730308:0900,13.7
19730309:0900,15.6
19730310:0900,14.5
19730311:0900,15.3
19730312:0900,15
19730313:0900,13.5
19730314:0900,15.3
19730315:0900,17
19730316:0900,18.5
19730317:0900,15.4
19730318:0900,14.7
19730319:0900,13.4
19730320:0900,15.7
19730321:0900,16.4
19730322:0900,17
19730323:0900,16
19730324:0900,10.3
19730325:0900,12.3
19730326:0900,13.1
19730327:0900,11
19730328:0900,9.1
19730329:0900,12.1
19730330:0900,14.8
19730331:0900,15.1
19730401:0900,16.1
19730402:0900,11.6
19730403:0900,11.3
19730404:0900,11.1
19730405:0900,11.5
19730406:0900,11.6
19730407:0900,11.6
19730408:0900,12.3
19730409:0900,13.4
19730410:0900,11.5
19730411:0900,12.9
19730412:0900,9.5
19730413:0900,12.3
19730414:0900,10.9
19730415:0900,11.9
19730416:0900,13
19730417:0900,11.1
19730418:0900,10
19730419:0900,8.2
19730420:0900,12.9
19730421:0900,14.4
19730422:0900,11.7
19730423:0900,14.6
19730424:0900,11.4
19730425:0900,8.3
19730426:0900,10.3
19730427:0900,11.9
19730428:0900,12
19730429:0900,12.6
19730430:0900,13.2
19730501:0900,12.1
19730502:0900,12.4
19730503:0900,12.2
19730504:0900,14.2
19730505:0900,14
19730506:0900,12.9
19730507:0900,12
19730508:0900,11.2
19730509:0900,12.5
19730510:0900,9.4
19730511:0900,8
19730512:0900,12
19730513:0900,10.8
19730514:0900,10
19730515:0900,9.4
19730516:0900,10
19730517:0900,8.7
19730518:0900,10.5
19730519:0900,8.5
19730520:0900,8.1
19730521:0900,8.2
19730522:0900,3.2
19730523:0900,4.5
19730524:0900,9.5
19730525:0900,7.8
19730526:0900,7.9
19730527:0900,7.3
19730528:0900,9.2
19730529:0900,8.7
19730530:0900,10
19730531:0900,7.3
19730601:0900,7.4
19730602:0900,9.5
19730603:0900,10.2
19730604:0900,12.5
19730605:0900,11.3
19730606:0900,11.2
19730607:0900,11.2
19730608:0900,11.1
19730609:0900,10.4
19730610:0900,6.9
19730611:0900,8.5
19730612:0900,6.3
19730613:0900,6.4
19730614:0900,7.8
19730615:0900,9.4
19730616:0900,8.1
19730617:0900,7.4
19730618:0900,7
19730619:0900,6.6
19730620:0900,6
19730621:0900,3.5
19730622:0900,5.7
19730623:0900,7.7
19730624:0900,7.6
19730625:0900,10.6
19730626:0900,11.4
19730627:0900,7.6
19730628:0900,7.1
19730629:0900,5.8
19730630:0900,4.7
19730701:0900,6.5
19730702:0900,6.2
19730703:0900,3.2
19730704:0900,3.6
19730705:0900,6
19730706:0900,7.3
19730707:0900,5.6
19730708:0900,5.4
19730709:0900,4
19730710:0900,4.3
19730711:0900,5.1
19730712:0900,3.8
19730713:0900,4.8
19730714:0900,7.1
19730715:0900,7.2
19730716:0900,7.1
19730717:0900,5.7
19730718:0900,5.2
19730719:0900,4.5
19730720:0900,4.3
19730721:0900,5
19730722:0900,7
19730723:0900,9.5
19730724:0900,9
19730725:0900,7.8
19730726:0900,7.5
19730727:0900,6.7
19730728:0900,6
19730729:0900,6.5
19730730:0900,5.8
19730731:0900,5.3
19730801:0900,4.4
19730802:0900,3
19730803:0900,5.9
19730804:0900,5.5
19730805:0900,7.5
19730806:0900,6.9
19730807:0900,6.9
19730808:0900,7
19730809:0900,7.5
19730810:0900,7
19730811:0900,9.6
19730812:0900,11
19730813:0900,11.8
19730814:0900,10
19730815:0900,7.5
19730816:0900,8.5
